generation,best,bestEver
267,7104.02,4615.43
268,7346.19,4615.43
269,7759.44,4615.43
270,7191.66,4615.43
271,7759.44,4615.43
272,8215.42,4615.43
273,8171.07,4615.43
274,8190.61,4615.43
275,7237.51,4615.43
276,8190.61,4615.43
277,7320.61,4615.43
278,8190.61,4615.43
279,8171.07,4615.43
280,8136.91,4615.43
281,7267.57,4615.43
282,8136.91,4615.43
283,8064.35,4615.43
284,7184.8,4615.43
285,8064.35,4615.43
286,7292.45,4615.43
287,6991.83,4615.43
288,7292.45,4615.43
289,8064.35,4615.43
290,8136.91,4615.43
291,7212.58,4615.43
292,6994.73,4615.43
293,7212.58,4615.43
294,8136.91,4615.43
295,8171.07,4615.43
296,7867.1,4615.43
297,8171.07,4615.43
298,7478.77,4615.43
299,8171.07,4615.43
300,7990.05,4615.43
301,8171.07,4615.43
302,6630.3,4615.43
303,8171.07,4615.43
304,7693.92,4615.43
305,8171.07,4615.43
306,7966.27,4615.43
307,8171.07,4615.43
308,6342.75,4615.43
309,6329.95,4615.43
310,4729.58,4615.43
311,6329.95,4615.43
312,6050.9,4615.43
313,6329.95,4615.43
314,6342.75,4615.43
315,8171.07,4615.43
316,8678.28,4615.43
317,8099.35,4615.43
318,7881.5,4615.43
319,7808.94,4615.43
320,7881.5,4615.43
321,8099.35,4615.43
322,8678.28,4615.43
323,8171.07,4615.43
324,8374.13,4615.43
325,8242.2,4615.43
326,7792.3,4615.43
327,7722.64,4615.43
328,7792.3,4615.43
329,8242.2,4615.43
330,7694.87,4615.43
331,8242.2,4615.43
332,8080.06,4615.43
333,8242.2,4615.43
334,7519.9,4615.43
335,8242.2,4615.43
336,8374.13,4615.43
337,8371.23,4615.43
338,8169.64,4615.43
339,7767.42,4615.43
340,8169.64,4615.43
341,7521.72,4615.43
342,6911.75,4615.43
343,6907.03,4615.43
344,6911.75,4615.43
345,7521.72,4615.43
346,8169.64,4615.43
347,8371.23,4615.43
348,7985.28,4615.43
349,8371.23,4615.43
350,8374.13,4615.43
351,7995.49,4615.43
352,8374.13,4615.43
353,8171.07,4615.43
354,7935.71,4615.43
355,7852.94,4615.43
356,6983.61,4615.43
357,7852.94,4615.43
358,7935.71,4615.43
359,8171.07,4615.43
360,7763.12,4615.43
361,7680.35,4615.43
362,6908.45,4615.43
363,7680.35,4615.43
364,7763.12,4615.43
365,8171.07,4615.43
366,9041.65,4615.43
367,8327.69,4615.43
368,9041.65,4615.43
369,9003.13,4615.43
370,8255.13,4615.43
371,9003.13,4615.43
372,7765.78,4615.43
373,9003.13,4615.43
374,8952.21,4615.43
375,8439.03,4615.43
376,8952.21,4615.43
377,7803.75,4615.43
378,8952.21,4615.43
379,7939.93,4615.43
380,7794.82,4615.43
381,7939.93,4615.43
382,8952.21,4615.43
383,8697.24,4615.43
384,8530.96,4615.43
385,7795.16,4615.43
386,7548.68,4615.43
387,7795.16,4615.43
388,8530.96,4615.43
389,8502.65,4615.43
390,8212.2,4615.43
391,8502.65,4615.43
392,8317.01,4615.43
393,7981.94,4615.43
394,8317.01,4615.43
395,8502.65,4615.43
396,8530.96,4615.43
397,7564.02,4615.43
398,8530.96,4615.43
399,8476.62,4615.43
400,8211.04,4615.43
401,8476.62,4615.43
402,8392.31,4615.43
403,8476.62,4615.43
404,8357.78,4615.43
405,8476.62,4615.43
406,8530.96,4615.43
407,8458.41,4615.43
408,8374.09,4615.43
409,8260.61,4615.43
410,8374.09,4615.43
411,8458.41,4615.43
412,8192.82,4615.43
413,8458.41,4615.43
414,8530.96,4615.43
415,8697.24,4615.43
416,8657.22,4615.43
417,7909.23,4615.43
418,8657.22,4615.43
419,8697.24,4615.43
420,8208.46,4615.43
421,8063.35,4615.43
422,8208.46,4615.43
423,8697.24,4615.43
424,7741.85,4615.43
425,8697.24,4615.43
426,7633.96,4615.43
427,8697.24,4615.43
428,7196.21,4615.43
429,8697.24,4615.43
430,8952.21,4615.43
431,8170.46,4615.43
432,8952.21,4615.43
433,8681.29,4615.43
434,8952.21,4615.43
435,8916.32,4615.43
436,8370.18,4615.43
437,8916.32,4615.43
438,8527.43,4615.43
439,8443.69,4615.43
440,7996.69,4615.43
441,8443.69,4615.43
442,8115.13,4615.43
443,8443.69,4615.43
444,8372.34,4615.43
445,8443.69,4615.43
446,7933.73,4615.43
447,7653.27,4615.43
448,7193.82,4615.43
449,7037.81,4615.43
450,7193.82,4615.43
451,7111.05,4615.43
452,7193.82,4615.43
453,6875.28,4615.43
454,7193.82,4615.43
455,7653.27,4615.43
456,7933.73,4615.43
457,7866.58,4615.43
458,7933.73,4615.43
459,8443.69,4615.43
460,8407.13,4615.43
461,7527.27,4615.43
462,8407.13,4615.43
463,7376.96,4615.43
464,8407.13,4615.43
465,7977.17,4615.43
466,7957.23,4615.43
467,7706.77,4615.43
468,7053.51,4615.43
469,7706.77,4615.43
470,7957.23,4615.43
471,5724.74,4615.43
472,7957.23,4615.43
473,6470.22,4615.43
474,7957.23,4615.43
475,7546.61,4615.43
476,7519.78,4615.43
477,7414.61,4615.43
478,7370.12,4615.43
479,7232.84,4615.43
480,7370.12,4615.43
481,7414.61,4615.43
482,7519.78,4615.43
483,7546.61,4615.43
484,5880.58,4615.43
485,5586.64,4615.43
486,5514.54,4615.43
487,5586.64,4615.43
488,5880.58,4615.43
489,5779.48,4615.43
490,5880.58,4615.43
491,5721.96,4615.43
492,5880.58,4615.43
493,5803.6,4615.43
494,5772.15,4615.43
495,5627.05,4615.43
496,5331.34,4615.43
497,5321.12,4615.43
498,5274.04,4615.43
499,5321.12,4615.43
500,5331.34,4615.43
501,5627.05,4615.43
502,5772.15,4615.43
503,5803.6,4615.43
504,5644.97,4615.43
505,5803.6,4615.43
506,5597.13,4615.43
507,4758.37,4615.43
508,4688.26,4615.43
509,4758.37,4615.43
510,5597.13,4615.43
511,5803.6,4615.43
512,5780.66,4615.43
513,5803.6,4615.43
514,5647.75,4615.43
515,5803.6,4615.43
516,5647.75,4615.43
517,5803.6,4615.43
518,5647.75,4615.43
519,5803.6,4615.43
520,5647.75,4615.43
521,5803.6,4615.43
522,5647.75,4615.43
523,5803.6,4615.43
524,5647.75,4615.43
525,5803.6,4615.43
526,5647.75,4615.43
527,5803.6,4615.43
528,5647.75,4615.43
529,5803.6,4615.43
530,5647.75,4615.43
531,5803.6,4615.43
532,5647.75,4615.43
533,5803.6,4615.43
534,5647.75,4615.43
535,5803.6,4615.43
536,5647.75,4615.43
537,5803.6,4615.43
538,5647.75,4615.43
539,5803.6,4615.43
540,5647.75,4615.43
541,5803.6,4615.43
542,5647.75,4615.43
543,5803.6,4615.43
544,5647.75,4615.43
545,5803.6,4615.43
546,5647.75,4615.43
547,5803.6,4615.43
548,5647.75,4615.43
549,5803.6,4615.43
550,5647.75,4615.43
551,5803.6,4615.43
552,5647.75,4615.43
553,5803.6,4615.43
554,5647.75,4615.43
555,5803.6,4615.43
556,5647.75,4615.43
557,5803.6,4615.43
558,5647.75,4615.43
559,5803.6,4615.43
560,5647.75,4615.43
561,5803.6,4615.43
562,5647.75,4615.43
563,5803.6,4615.43
564,5647.75,4615.43
565,5803.6,4615.43
566,5647.75,4615.43
567,5803.6,4615.43
568,5647.75,4615.43
569,5803.6,4615.43
570,5647.75,4615.43
571,5803.6,4615.43
572,5647.75,4615.43
573,5803.6,4615.43
574,5647.75,4615.43
575,5803.6,4615.43
576,5647.75,4615.43
577,5803.6,4615.43
578,5647.75,4615.43
579,5803.6,4615.43
580,5647.75,4615.43
581,5803.6,4615.43
582,5647.75,4615.43
583,5803.6,4615.43
584,5647.75,4615.43
585,5803.6,4615.43
586,5647.75,4615.43
587,5803.6,4615.43
588,5647.75,4615.43
589,5803.6,4615.43
590,5647.75,4615.43
591,5803.6,4615.43
592,5647.75,4615.43
593,5803.6,4615.43
594,5647.75,4615.43
595,5803.6,4615.43
596,5647.75,4615.43
597,5803.6,4615.43
598,5647.75,4615.43
599,5803.6,4615.43
600,5647.75,4615.43
601,5803.6,4615.43
602,5647.75,4615.43
603,5803.6,4615.43
604,5647.75,4615.43
605,5803.6,4615.43
606,5647.75,4615.43
607,5803.6,4615.43
608,5647.75,4615.43
609,5803.6,4615.43
610,5647.75,4615.43
611,5803.6,4615.43
612,5647.75,4615.43
613,5803.6,4615.43
614,5647.75,4615.43
615,5803.6,4615.43
616,5647.75,4615.43
617,5803.6,4615.43
618,5647.75,4615.43
619,5803.6,4615.43
620,5647.75,4615.43
621,5803.6,4615.43
622,5647.75,4615.43
623,5803.6,4615.43
624,5647.75,4615.43
625,5803.6,4615.43
626,5647.75,4615.43
627,5803.6,4615.43
628,5647.75,4615.43
629,5803.6,4615.43
630,5647.75,4615.43
631,5803.6,4615.43
632,5647.75,4615.43
633,5803.6,4615.43
634,5647.75,4615.43
635,5803.6,4615.43
636,5647.75,4615.43
637,5803.6,4615.43
638,5647.75,4615.43
639,5803.6,4615.43
640,5647.75,4615.43
641,5803.6,4615.43
642,5647.75,4615.43
643,5803.6,4615.43
644,5647.75,4615.43
645,5803.6,4615.43
646,5647.75,4615.43
647,5803.6,4615.43
648,5647.75,4615.43
649,5803.6,4615.43
650,5647.75,4615.43
651,5803.6,4615.43
652,5647.75,4615.43
653,5803.6,4615.43
654,5647.75,4615.43
655,5803.6,4615.43
656,5647.75,4615.43
657,5803.6,4615.43
658,5647.75,4615.43
659,5803.6,4615.43
660,5647.75,4615.43
661,5803.6,4615.43
662,5647.75,4615.43
663,5803.6,4615.43
664,5647.75,4615.43
665,5803.6,4615.43
666,5647.75,4615.43
667,5803.6,4615.43
668,5647.75,4615.43
669,5803.6,4615.43
670,5647.75,4615.43
671,5803.6,4615.43
672,5647.75,4615.43
673,5803.6,4615.43
674,5647.75,4615.43
675,5803.6,4615.43
676,5647.75,4615.43
677,5803.6,4615.43
678,5647.75,4615.43
679,5803.6,4615.43
680,5647.75,4615.43
681,5803.6,4615.43
682,5647.75,4615.43
683,5803.6,4615.43
684,5647.75,4615.43
685,5803.6,4615.43
686,5647.75,4615.43
687,5803.6,4615.43
688,5647.75,4615.43
689,5803.6,4615.43
690,5647.75,4615.43
691,5803.6,4615.43
692,5647.75,4615.43
693,5803.6,4615.43
694,5647.75,4615.43
695,5803.6,4615.43
696,5647.75,4615.43
697,5803.6,4615.43
698,5647.75,4615.43
699,5803.6,4615.43
700,5647.75,4615.43
701,5803.6,4615.43
702,5647.75,4615.43
703,5803.6,4615.43
704,5647.75,4615.43
705,5803.6,4615.43
706,5647.75,4615.43
707,5803.6,4615.43
708,5647.75,4615.43
709,5803.6,4615.43
710,5647.75,4615.43
711,5803.6,4615.43
712,5647.75,4615.43
713,5803.6,4615.43
714,5647.75,4615.43
715,5803.6,4615.43
716,5647.75,4615.43
717,5803.6,4615.43
718,5647.75,4615.43
719,5803.6,4615.43
720,5647.75,4615.43
721,5803.6,4615.43
722,5647.75,4615.43
723,5803.6,4615.43
724,5647.75,4615.43
725,5803.6,4615.43
726,5647.75,4615.43
727,5803.6,4615.43
728,5647.75,4615.43
729,5803.6,4615.43
730,5647.75,4615.43
731,5803.6,4615.43
732,5647.75,4615.43
733,5803.6,4615.43
734,5647.75,4615.43
735,5803.6,4615.43
736,5647.75,4615.43
737,5803.6,4615.43
738,5647.75,4615.43
739,5803.6,4615.43
740,5647.75,4615.43
741,5803.6,4615.43
742,5647.75,4615.43
743,5803.6,4615.43
744,5647.75,4615.43
745,5803.6,4615.43
746,5647.75,4615.43
747,5803.6,4615.43
748,5647.75,4615.43
749,5803.6,4615.43
750,5647.75,4615.43
751,5803.6,4615.43
752,5647.75,4615.43
753,5803.6,4615.43
754,5647.75,4615.43
755,5803.6,4615.43
756,5647.75,4615.43
757,5803.6,4615.43
758,5647.75,4615.43
759,5803.6,4615.43
760,5647.75,4615.43
761,5803.6,4615.43
762,5647.75,4615.43
763,5803.6,4615.43
764,5647.75,4615.43
765,5803.6,4615.43
766,5647.75,4615.43
767,5803.6,4615.43
768,5647.75,4615.43
769,5803.6,4615.43
770,5647.75,4615.43
771,5803.6,4615.43
772,5647.75,4615.43
773,5803.6,4615.43
774,5647.75,4615.43
775,5803.6,4615.43
776,5647.75,4615.43
777,5803.6,4615.43
778,5647.75,4615.43
779,5803.6,4615.43
780,5647.75,4615.43
781,5803.6,4615.43
782,5647.75,4615.43
783,5803.6,4615.43
784,5647.75,4615.43
785,5803.6,4615.43
786,5647.75,4615.43
787,5803.6,4615.43
788,5647.75,4615.43
789,5803.6,4615.43
790,5647.75,4615.43
791,5803.6,4615.43
792,5647.75,4615.43
793,5803.6,4615.43
794,5647.75,4615.43
795,5803.6,4615.43
796,5647.75,4615.43
797,5803.6,4615.43
798,5647.75,4615.43
799,5803.6,4615.43
800,5647.75,4615.43
801,5803.6,4615.43
802,5647.75,4615.43
803,5803.6,4615.43
804,5647.75,4615.43
805,5803.6,4615.43
806,5647.75,4615.43
807,5803.6,4615.43
808,5647.75,4615.43
809,5803.6,4615.43
810,5647.75,4615.43
811,5803.6,4615.43
812,5647.75,4615.43
813,5803.6,4615.43
814,5647.75,4615.43
815,5803.6,4615.43
816,5647.75,4615.43
817,5803.6,4615.43
818,5647.75,4615.43
819,5803.6,4615.43
820,5647.75,4615.43
821,5803.6,4615.43
822,5647.75,4615.43
823,5803.6,4615.43
824,5647.75,4615.43
825,5803.6,4615.43
826,5647.75,4615.43
